City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Capacity (Tons),Year,Latitude,Longitude,Utilization_Ratio,Cost_Efficiency,Campaign_Intensity,Waste_to_Density,Density_Bin
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,52609,2019,15.7581,85.4837,0.16886844455950753,0.0014074595355383533,0.0009342712684106397,0.4882391734447131,Mid-High
Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,52609,2019,15.7581,85.4837,0.041190670796989286,0.0013172338090010978,0.0,0.1190921081556386,Mid-High
Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,52609,2019,15.7581,85.4837,0.09028873386511264,0.0015748031496062992,0.00010991426687183997,0.2610463838206199,Mid-High
Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,52609,2019,15.7581,85.4837,0.17016099906536597,0.0016909029421711193,0.0,0.4919762585183557,Mid-High
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,52609,2020,15.7581,85.4837,0.13448269307277305,0.0012014417300760913,0.0008243570015387997,0.3888217190591339,Mid-High
Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,52609,2020,15.7581,85.4837,0.0694367883808961,0.0012575452716297787,5.495713343591998e-05,0.2007584084414157,Mid-High
Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,52609,2020,15.7581,85.4837,0.10410766218509936,0.0032626427406199023,0.0007693998681028798,0.30100021982853375,Mid-High
Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,52609,2020,15.7581,85.4837,0.11604478320979215,0.0025850926324859974,0.0009892284018465597,0.3355132996262915,Mid-High
Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,52609,2020,15.7581,85.4837,0.017886673382541265,0.001339046598821639,0.0003297428006155199,0.0517146625632007,Mid-High
Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,52609,2021,15.7581,85.4837,0.015168507289338924,0.003256003256003256,0.0006045284677951198,0.04385579248186414,Mid-High
Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,52609,2021,15.7581,85.4837,0.018894105570930943,0.0027649769585253456,0.0008243570015387997,0.05462739063530446,Mid-High
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,52609,2021,15.7581,85.4837,0.15423216559611033,0.0018501387604070306,0.0003297428006155199,0.44592218069905476,Mid-High
Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,52609,2021,15.7581,85.4837,0.12459845273385545,0.0023537323470073975,0.0009342712684106397,0.3602440096724555,Mid-High
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,52609,2021,15.7581,85.4837,0.07618468322765716,0.002581311306143521,0.0002747856671795999,0.2202681908111673,Mid-High
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,52609,2022,15.7581,85.4837,0.07107148966771709,0.0024108003857280617,0.0004946142009232798,0.2054847219169048,Mid-High
Bengaluru,Organic,909,54,18195,10,Composting,1000,20,52609,2022,15.7581,85.4837,0.017278412438607872,0.00999000999000999,0.0010991426687183997,0.04995603429325127,Mid-High
Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,52609,2022,15.7581,85.4837,0.1114638179757938,0.0019371502367628067,0.0010441855352824796,0.3222686304682348,Mid-High
Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,52609,2022,15.7581,85.4837,0.009732175102934247,0.0015801948907031868,0.0009342712684106397,0.02813805231919103,Mid-High
Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,52609,2022,15.7581,85.4837,0.017145355357122444,0.005072463768115942,0.0007693998681028798,0.049571334359199824,Mid-High
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,52609,2023,15.7581,85.4837,0.10036305574900943,0.003770423125261835,0.0005495713343591998,0.2901736645416575,Mid-High
Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,52609,2023,15.7581,85.4837,0.13562318234264814,0.0012755102040816326,0.0009342712684106397,0.39211914706528905,Mid-High
Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,52609,2023,15.7581,85.4837,0.14573552053554076,0.0021849963583394027,0.0005495713343591998,0.4213563420531985,Mid-High
Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,52609,2023,15.7581,85.4837,0.06004676005892439,0.00249500998003992,0.0003846999340514399,0.17360958452407121,Mid-High
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,52609,2023,15.7581,85.4837,0.1119770381472376,0.0031774852473899226,0.0008243570015387997,0.32375247307100463,Mid-High
Chennai,Plastic,6159,74,21430,10,Composting,3282,13,65486,2019,29.4633,80.8873,0.09405063677589026,0.003045994517209869,0.0006065979189025243,0.2873874294246652,High
Chennai,Organic,6358,53,21430,5,Composting,4225,1,65486,2019,29.4633,80.8873,0.09708945423301027,0.001183151916706105,4.666137837711726e-05,0.29667304372171155,High
Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,65486,2019,29.4633,80.8873,0.10364047277122376,0.003078817733990148,0.00032662964863982083,0.31669077504549487,High
Chennai,Construction,628,41,21430,10,Recycling,837,7,65486,2019,29.4633,80.8873,0.009589835995333508,0.011933174224343675,0.00032662964863982083,0.02930334562082964,High
Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,65486,2019,29.4633,80.8873,0.02502825031266182,0.002789832610043397,0.000886566189165228,0.07647799916009519,High
Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,65486,2020,29.4633,80.8873,0.02687597349010665,0.002785515320334262,0.0008399048107881106,0.08212402594372638,High
Chennai,Organic,6805,32,21430,5,Composting,1988,3,65486,2020,29.4633,80.8873,0.10391534068191804,0.002513826043237808,0.00013998413513135178,0.31753067985628297,High
Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,65486,2020,29.4633,80.8873,0.08800354274061627,0.0034387895460797797,0.0,0.2689095235873268,High
Chennai,Construction,8100,76,21430,9,Incineration,2855,1,65486,2020,29.4633,80.8873,0.12369055981242265,0.0031512605042016808,4.666137837711726e-05,0.3779571648546498,High
Chennai,Hazardous,651,46,21430,8,Recycling,533,7,65486,2020,29.4633,80.8873,0.009941056103442857,0.0149812734082397,0.00032662964863982083,0.030376557323503337,High
Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,65486,2021,29.4633,80.8873,0.07097700271705437,0.006474820143884892,0.0,0.21688208669684103,High
Chennai,Organic,8394,72,21430,6,Incineration,4236,15,65486,2021,29.4633,80.8873,0.1281800690204291,0.0014160962945480293,0.0006999206756567589,0.3916756100975223,High
Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,65486,2021,29.4633,80.8873,0.06497572000022943,0.0015428130624839291,0.0007932434324109934,0.19854416499463395,High
Chennai,Construction,4259,65,21430,7,Composting,1620,10,65486,2021,29.4633,80.8873,0.06503680175816148,0.00431832202344232,0.0004666137837711726,0.1987308105081424,High
Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,65486,2021,29.4633,80.8873,0.008429282594624358,0.0028559771521827824,9.332275675423452e-05,0.025757080864168728,High
Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,65486,2022,29.4633,80.8873,0.028372476559442132,0.0011168192986374804,0.00013998413513135178,0.08669684102468386,High
Chennai,Organic,5933,71,21430,8,Recycling,3180,20,65486,2022,29.4633,80.8873,0.09059951745272883,0.002514932411191449,0.0009332275675423452,0.27684195791143673,High
Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,65486,2022,29.4633,80.8873,0.11042054790168249,0.0019504040122596824,0.0005599365405254071,0.3374084270449349,High
Chennai,Construction,8389,79,21430,10,Incineration,3449,20,65486,2022,29.4633,80.8873,0.12810371682301402,0.002898550724637681,0.0009332275675423452,0.3914423032056367,High
Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,65486,2022,29.4633,80.8873,0.0976239196149158,0.009150326797385621,0.0007465820540338762,0.29830619196491065,High
Chennai,Plastic,4234,44,21430,8,Composting,3634,19,65486,2023,29.4633,80.8873,0.06465504077108611,0.002200825309491059,0.000886566189165228,0.1975642760487145,High
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,65486,2023,29.4633,80.8873,0.11823901291698624,0.002818035426731079,0.0009332275675423452,0.36129905277401897,High
Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,65486,2023,29.4633,80.8873,0.009437131600503357,0.0030257186081694403,0.0006999206756567589,0.028836731837058465,High
Chennai,Construction,4852,69,21430,5,Recycling,4411,8,65486,2023,29.4633,80.8873,0.07409217237158947,0.0011332728921124207,0.0003732910270169381,0.22640100788577294,High
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,65486,2023,29.4633,80.8873,0.04727728063941488,0.008918617614269788,0.000886566189165228,0.14446362745555505,High
Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,80985,2019,16.068,72.6096,0.09868494165464364,0.004413928396272682,0.0011536686663590216,0.4610059990770651,Mid-High
Kolkata,Organic,8041,71,17335,6,Composting,4200,6,80985,2019,16.068,72.6096,0.09928999197259629,0.0014282313734825041,0.00034610059990770653,0.46383248730964466,Mid-High
Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,80985,2019,16.068,72.6096,0.010026548126072402,0.0032061558191728116,0.0009229349330872173,0.04683894785417628,Mid-High
Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,80985,2019,16.068,72.6096,0.061171821941579656,0.008802816901408451,0.0008075680664513152,0.2857637286571297,Mid-High
Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,80985,2019,16.068,72.6096,0.007729826510986852,0.0011098779134295228,0.00034610059990770653,0.03610982925703738,Mid-High
Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,80985,2020,16.068,72.6096,0.019373958140157143,0.003676470588235294,0.00023073373327180433,0.09050530687586525,Mid-High
Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,80985,2020,16.068,72.6096,0.07991603383243914,0.0015019525382997897,0.0008075680664513152,0.37332718043377944,Mid-High
Kolkata,E-Waste,6409,50,17335,9,Composting,1796,11,80985,2020,16.068,72.6096,0.07913811199507147,0.005008347245409015,0.0006345177664974619,0.3696931241347485,Mid-High
Kolkata,Construction,2509,60,17335,5,Composting,2411,20,80985,2020,16.068,72.6096,0.030981045872309924,0.0020729684908789387,0.0011536686663590216,0.14472773419473928,Mid-High
Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,80985,2020,16.068,72.6096,0.07049453602431939,0.0022650056625141564,0.00017305029995385326,0.3293147208121827,Mid-High
Kolkata,Plastic,3627,67,17335,6,Incineration,4952,16,80985,2021,16.068,72.6096,0.04478607149416823,0.0012113870381586917,0.0009229349330872173,0.20921781264420858,Mid-High
Kolkata,Organic,9186,35,17335,6,Landfill,4649,9,80985,2021,16.068,72.6096,0.11342841266761218,0.0012903225806451613,0.0005191508998615597,0.5298800184586987,Mid-High
Kolkata,E-Waste,2735,54,17335,8,Composting,2923,1,80985,2021,16.068,72.6096,0.03377168611429559,0.0027359781121751026,5.7683433317951084e-05,0.15776419012459622,Mid-High
Kolkata,Construction,1989,45,17335,7,Recycling,2795,8,80985,2021,16.068,72.6096,0.024560103722608386,0.002503576537911302,0.00046146746654360867,0.11473234886940471,Mid-High
Kolkata,Hazardous,2740,34,17335,8,Recycling,1795,7,80985,2021,16.068,72.6096,0.033833425942658105,0.004454342984409799,0.0004037840332256576,0.15805260729118598,Mid-High
Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,80985,2022,16.068,72.6096,0.015644872507061248,0.0015330705212439773,0.0005191508998615597,0.07308491001384403,Mid-High
Kolkata,Organic,545,61,17335,5,Landfill,4082,13,80985,2022,16.068,72.6096,0.006729641291514113,0.0012245897624295861,0.0007498846331333641,0.03143747115828334,Mid-High
Kolkata,E-Waste,1714,81,17335,7,Composting,2394,11,80985,2022,16.068,72.6096,0.021164413162670072,0.0029227557411273487,0.0006345177664974619,0.09886940470696816,Mid-High
Kolkata,Construction,7568,65,17335,5,Incineration,3770,0,80985,2022,16.068,72.6096,0.09344940420950239,0.0013259082471492973,0.0,0.4365482233502538,Mid-High
Kolkata,Hazardous,8057,32,17335,5,Composting,2400,3,80985,2022,16.068,72.6096,0.09948755942335634,0.0020824656393169513,0.00017305029995385326,0.46475542224273186,Mid-High
Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,80985,2023,16.068,72.6096,0.07832314626068627,0.006572769953051643,0.0009806183664051685,0.3658860175357637,Mid-High
Kolkata,Organic,1654,71,17335,10,Incineration,2348,11,80985,2023,16.068,72.6096,0.020423535222319895,0.004257130693912303,0.0006345177664974619,0.0954083987078911,Mid-High
Kolkata,E-Waste,9639,60,17335,10,Landfill,2743,11,80985,2023,16.068,72.6096,0.11902204111725602,0.0036443148688046646,0.0006345177664974619,0.5560106137517306,Mid-High
Kolkata,Construction,4040,77,17335,6,Landfill,2119,16,80985,2023,16.068,72.6096,0.04988578131691195,0.002830188679245283,0.0009229349330872173,0.2330410706045224,Mid-High
Kolkata,Hazardous,956,81,17335,9,Landfill,673,10,80985,2023,16.068,72.6096,0.011804655182912828,0.013353115727002967,0.0005768343331795108,0.05514536225196124,Mid-High
Hyderabad,Plastic,5089,66,7927,6,Recycling,1103,10,34239,2019,34.069,82.1518,0.14863167732268373,0.005434782608695652,0.0012613521695257316,0.6419021190716448,Low
Hyderabad,Organic,588,32,7927,6,Incineration,3131,5,34239,2019,34.069,82.1518,0.01717339875530321,0.0019157088122605363,0.0006306760847628658,0.07416750756811302,Low
Hyderabad,E-Waste,6487,37,7927,9,Incineration,2065,0,34239,2019,34.069,82.1518,0.18946230905723116,0.004356243949661181,0.0,0.818239152371342,Low
Hyderabad,Construction,2163,52,7927,5,Incineration,2206,7,34239,2019,34.069,82.1518,0.06317357399272253,0.0022655188038060714,0.0008829465186680121,0.2728304742684157,Low
Hyderabad,Hazardous,1887,48,7927,7,Composting,3526,17,34239,2019,34.069,82.1518,0.055112590903498564,0.001984689537850865,0.0021442986881937435,0.23801715438950555,Low
Hyderabad,Plastic,3899,59,7927,7,Incineration,2812,5,34239,2020,34.069,82.1518,0.11387598936552247,0.002488446498400284,0.0006306760847628658,0.49180121089808276,Low
Hyderabad,Organic,7422,73,7927,9,Landfill,3646,19,34239,2020,34.069,82.1518,0.21677034959500072,0.0024677817384151355,0.00239656912209889,0.936175580221998,Low
Hyderabad,E-Waste,2765,39,7927,7,Recycling,1602,15,34239,2020,34.069,82.1518,0.08075586319458057,0.004366812227074236,0.0018920282542885974,0.3487638748738648,Low
Hyderabad,Construction,5337,72,7927,7,Composting,4205,2,34239,2020,34.069,82.1518,0.155874879518798,0.0016642891107941037,0.0002522704339051463,0.673183652875883,Low
Hyderabad,Hazardous,1713,85,7927,5,Incineration,4307,17,34239,2020,34.069,82.1518,0.05003066678203129,0.001160631383472609,0.0021442986881937435,0.21606962663975782,Low
Hyderabad,Plastic,7858,79,7927,7,Composting,3494,8,34239,2021,34.069,82.1518,0.22950436635913712,0.0020028612303290413,0.0010090817356205853,0.9911705348133198,Low
Hyderabad,Organic,6905,46,7927,5,Incineration,1624,2,34239,2021,34.069,82.1518,0.20167060953293992,0.003076923076923077,0.0002522704339051463,0.8709636730575177,Low
Hyderabad,E-Waste,1285,72,7927,9,Incineration,1411,19,34239,2021,34.069,82.1518,0.03753030170164052,0.006373937677053824,0.00239656912209889,0.1620837537840565,Low
Hyderabad,Construction,805,34,7927,6,Recycling,1077,11,34239,2021,34.069,82.1518,0.023511200676903203,0.0055658627087198514,0.0013874873864783048,0.10153884964682139,Low
Hyderabad,Hazardous,742,83,7927,5,Composting,2985,12,34239,2021,34.069,82.1518,0.02167119366740643,0.0016744809109176155,0.0015136226034308778,0.09359233097880928,Low
Hyderabad,Plastic,5774,48,7927,6,Incineration,3095,7,34239,2022,34.069,82.1518,0.1686381027434026,0.001937984496124031,0.0008829465186680121,0.7283047426841575,Low
Hyderabad,Organic,1013,80,7927,8,Composting,823,3,34239,2022,34.069,82.1518,0.02958614445428937,0.009708737864077669,0.00037840565085771945,0.1277749747729566,Low
Hyderabad,E-Waste,708,42,7927,6,Landfill,1987,0,34239,2022,34.069,82.1518,0.020678174011487537,0.0030181086519114686,0.0,0.08930373360242179,Low
Hyderabad,Construction,2667,39,7927,6,Incineration,4911,4,34239,2022,34.069,82.1518,0.0778936300686967,0.0012214983713355048,0.0005045408678102926,0.3364026236125126,Low
Hyderabad,Hazardous,8430,82,7927,7,Landfill,706,3,34239,2022,34.069,82.1518,0.24621046174694908,0.009900990099009901,0.00037840565085771945,1.0633198789101916,Low
Hyderabad,Plastic,4495,51,7927,5,Composting,1787,10,34239,2023,34.069,82.1518,0.13128303980457132,0.002796420581655481,0.0012613521695257316,0.5669778002018163,Low
Hyderabad,Organic,1514,44,7927,7,Incineration,4521,3,34239,2023,34.069,82.1518,0.044218581148858946,0.0015479876160990713,0.00037840565085771945,0.19096871846619576,Low
Hyderabad,E-Waste,1598,61,7927,8,Landfill,3658,4,34239,2023,34.069,82.1518,0.046671923828187974,0.002186389723968297,0.0005045408678102926,0.2015640766902119,Low
Hyderabad,Construction,4204,31,7927,8,Incineration,2208,8,34239,2023,34.069,82.1518,0.12278395980832431,0.0036215482118605704,0.0010090817356205853,0.5302724520686175,Low
Hyderabad,Hazardous,4592,69,7927,10,Composting,4701,12,34239,2023,34.069,82.1518,0.13411606646998697,0.002126754572522331,0.0015136226034308778,0.579212916246216,Low
Pune,Plastic,8897,48,12547,6,Incineration,4355,15,49524,2019,28.7237,84.2278,0.17965027057225486,0.0013774104683195593,0.0011954096270321963,0.7090372967803634,Mid-Low
Pune,Organic,8028,68,12547,8,Composting,3502,19,49524,2019,28.7237,84.2278,0.16210322267663954,0.0022837567799029405,0.0015141855275741154,0.6397832323876315,Mid-Low
Pune,E-Waste,3125,36,12547,7,Recycling,969,14,49524,2019,28.7237,84.2278,0.06310071884211492,0.007216494845360825,0.0011157156518967167,0.24904367229837424,Mid-Low
Pune,Construction,9857,62,12547,7,Landfill,2667,12,49524,2019,28.7237,84.2278,0.19903481140055257,0.002623688155922039,0.000956327701625757,0.785543512910424,Mid-Low
